Hierarchical Optimal Control of MDPs| Abstract Fundamental to reinforcement learning, as well as to the
Nash Convergence of Gradient Dynamics in General-Sum Games| Abstract Multi-agent games are becoming an increasingly prevalent formalism for the study of electronic commerce and auctions.  The speed at which transactions can take place and the growing complexity of electronic marketplaces makes the study of computationally simple agents an appealing direction.  In this work, we analyze the behavior of agents that incrementally adapt their strategy through gradient ascent on expected payoff, in the simple setting of two-player, two-action, iterated general-sum games, and present a surprising result.  We show that either the agents will converge to a Nash equilibrium, or if the strategies themselves do not converge, then their average payoffs will nevertheless converge to the payoffs of a Nash equilibrium. 
Adaptive cognitive orthotics: combining reinforcement learning and constraint-based temporal reasoning| Abstract Reminder systems support people with impaired prospective memory and/or executive function, by providing them with reminders of their functional daily activities.  We integrate temporal constraint reasoning with reinforcement learning (RL) to build an adaptive reminder system and in a simulated environment demonstrate that it can personalize to a user and adapt to both short- and long-term changes.  In addition to advancing the application domain, our integrated algorithm contributes to research on temporal constraint reasoning by showing how RL can select an optimal policy from amongst a set of temporally consistent ones, and it contributes to the work on RL by showing how temporal constraint reasoning can be used to dramatically reduce the space of actions from which an RL agent needs to learn. 
A social reinforcement learning agent| ABSTRACT We report on our reinforcement learning work on Cobot, a software agent that resides in the well-known online chat community LambdaMOO.  Our initial work on Cobot [Isbell et al. 2000] provided him with the ability to collect social statistics and report them to users in a reactive manner.  Here we describe our application of reinforcement learning to allow Cobot to proactively take actions in this complex social environment, and adapt his behavior from multiple sources of human reward.  After 5 months of training, Cobot received 3171 reward and punishmentevents from 254 different LambdaMOO users, and learned nontrivial preferences for a number of users.  Cobot modifies his behavior based on his current state in an attempt to maximize reward.  Here we describe LambdaMOO and the state and action spaces of Cobot, and report the statistical results of the learning experiment. 
Predictive Representations of State| Abstract We show that states of a dynamical system can be usefully represented by multi-step, action-conditional predictions of future observations.  State representations that are grounded in data in this way may be easier to learn, generalize better, and be less dependent on accurate prior models than, for example, POMDP state representations.  Building on prior work by Jaeger and by Rivest and Schapire, in this paper we compare and contrast a linear specialization of the predictive approach with the state representations used in POMDPs and in k-order Markov models.  Ours is the first specific formulation of the predictive idea that includes both stochasticity and actions (controls).  We show that any system has a linear predictive state representation with number of predictions no greater than the number of states in its minimal POMDP model.  In predicting or controlling a sequence of observations, the concepts of state and state estimation inevitably arise.  There have been two dominant approaches.  The generative-model approach, typified by research on partially observable Markov decision processes (POMDPs), hypothesizes a structure for generating observations and estimates its state and state dynamics.  The history-based approach, typified by k-order Markov methods, uses simple functions of past observations as state, that is, as the immediate basis for prediction and control.  (The data flow in these two approaches are diagrammed in Figure 1. ) Of the two, the generative-model approach is more general.  The model's internal state gives it temporally unlimited memory| the ability to remember an event that happened arbitrarily long ago|whereas a history-based approach can only remember as far back as its history extends.  The bane of generative-model approaches is that they are often strongly dependent on a good model of the system's dynamics.  Most uses of POMDPs, for example, assume a perfect dynamics model and attempt only to estimate state.  There are algorithms for simultaneously estimating state and dynamics (e. g. , Chrisman, 1992), analogous to the Baum-Welch algorithm for the uncontrolled case (Baum et al. , 1970), but these are only effective at tuning parameters that are already approximately correct (e. g. , Shatkay & Kaelbling, 1997).  State Update observations (and actions) state rep'n observations (and actions) state rep'n 1-step delays (a) (b) Figure 1: Data flow in a) POMDP and other recursive updating of state representation, and b) history-based state representation.  In practice, history-based approaches are often much more effective.  Here, the state representation is a relatively simple record of the stream of past actions and observations.  It might record the occurrence of a specific subsequence or that one event has occurred more recently than another.  Such representations are far more closely linked to the data than are POMDP representations.  One way of saying this is that POMDP learning algorithms encounter many local minima and saddle points because all their states are equipotential.  History-based systems immediately break symmetry, and their direct learning procedure makes them comparably simple.  McCallum (1995) has shown in a number of examples that sophisticated history-based methods can be effective in large problems, and are often more practical than POMDP methods even in small ones.  The predictive state representation (PSR) approach, which we develop in this paper, is like the generative-model approach in that it updates the state representation recursively, as in Figure 1(a), rather than directly computing it from data.  We show that this enables it to attain generality and compactness at least equal to that of the generative-model approach.  However, the PSR approach is also like the history-based approach in that its representations are grounded in data.  Whereas a history-based representation looks to the past and records what did happen, a PSR looks to the future and represents what will happen.  In particular, a PSR is a vector of predictions for a specially selected set of action{observation sequences, called tests (after Rivest & Schapire, 1994).  For example, consider the test a 1 o 1 a 2 o 2 , where a 1 and a 2 are specific actions and o 1 and o 2 are specific observations.  The correct prediction for this test given the data stream up to time k is the probability of its observations occurring (in order) given that its actions are taken (in order) (i. e. , P r fO k = o 1 ; O k+1 = o 2 j A k = a 1 ; A k+1 = a 2 g).  Each test is a kind of experiment that could be performed to tell us something about the system.  If we knew the outcome of all possible tests, then we would know everything there is to know about the system.  A PSR is a set of tests that is sucient information to determine the prediction for all possible tests (a sucient statistic).  As an example of these points, consider the #oat/reset problem (Figure 2) consisting of a linear string of 5 states with a distinguished reset state on the far right.  One action, f (#oat), causes the system to move uniformly at random to the right or left by one state, bounded at the two ends.  The other action, r (reset), causes a jump to the reset state irrespective of the current state.  The observation is always 0 unless the r action is taken when the system is already in the reset state, in which case the observation is 1.  Thus, on an f action, the correct prediction is always 0, whereas on an r action, the correct prediction depends on how many fs there have been since the last r: for zero fs, it is 1; for one or two fs, it is 0. 5; for three or four fs, it is 0. 375; for five or six fs, it is 0. 3125, and so on decreasing after every second f, asymptotically bottoming out at 0. 2.  No k-order Markov method can model this system exactly, because no
Learning Predictive State Representations| Abstract We introduce the first algorithm for learning predictive state representations (PSRs), which are a way of representing the state of a controlled dynamical system.  The state representation in a PSR is a vector of predictions of tests, where tests are sequences of actions and observations said to be true if and only if all the observations occur given that all the actions are taken.  The problem of finding a good PSR|one that is a sucient statistic for the dynamical system|can be divided into two parts: 1) discovery of a good set of tests, and 2) learning to make accurate predictions for those tests.  In this paper, we present detailed empirical results using a gradient-based algorithm for addressing the second problem.  Our results demonstrate several sample systems in which the algorithm learns to make correct predictions and several situations in which the algorithm is less successful.  Our analysis reveals challenges that will need to be addressed in future PSR learning algorithms. 
The Efficient Learning of Multiple Task Sequences| Abstract I present a modular network architecture and a learning algorithm based on incremental dynamic programming that allows a single learning agent to learn to solve multiple Markovian decision tasks (MDTs) with significant transfer of learning across the tasks.  I consider a class of MDTs, called composite tasks, formed by temporally concatenating a number of simpler, elemental MDTs.  The architecture is trained on a set of composite and elemental MDTs.  The temporal structure of a composite task is assumed to be unknown and the architecture learns to produce a temporal decomposition.  It is shown that under certain conditions the solution of a composite MDT can be constructed by computationally inexpensive modifications of the solutions of its constituent elemental MDTs. 
Intrinsically Motivated Reinforcement Learning| Abstract Humans and other animals often engage in activities for their own sakes rather than as steps toward solving practical problems.  Psychologists call these intrinsically motivated behaviors.  What we learn during intrinsically motivated behavior is essential for our development as competent autonomous entities able to efficiently solve a wide range of practical problems as they arise.  In this paper we present initial results from a computational study of intrinsically motivated reinforcement learning aimed at allowing artificial agents to construct and extend hierarchies of reusable skills that are needed for competent autonomy. 
A Boosting Approach to Topic Spotting on Subdialogues| Abstract We report the results of a study on topic spotting in conversational speech.  Using a machine learning approach, we build classifiers that accept an audio file of conversational human speech as input, and output an estimate of the topic being discussed.  Our methodology makes use of a wellknown corpus of transcribed and topic-labeled speech (the Switchboard corpus), and involves an interesting double use of the BOOSTEXTER learning algorithm.  Our work is distinguished from previous efforts in topic spotting by our explicit study of the effects of dialogue length on classifier performance, and by our use of off-theshelf speech recognition technology.  One of our main results is the identification of a single classifier with good performance (relative to our classifier space) across all subdialogue lengths. 
Journal of Inequalities in Pure and Applied Mathematics| ABSTRACT.  A norm inequality is proved for elements of a star algebra so that the algebra is noncommutative.  In particular, a relation between maximal and minimal extensions of regular norm on a C # -algebra is established.  Key words and phrases: W # -algebras,
Learning Without State-Estimation in Partially Observable Markovian Decision Processes| Abstract Reinforcement learning (RL) algorithms provide a sound theoretical basis for building learning control architectures for embedded agents.  Unfortunately all of the theory and much of the practice (see Barto et al. , 1983, for an exception) of RL is limited to Markovian decision processes (MDPs).  Many realworld decision tasks, however, are inherently non-Markovian, i. e. , the state of the environment is only incompletely known to the learning agent.  In this paper we consider only partially observable MDPs (POMDPs), a useful class of non-Markovian decision processes.  Most previous approaches to such problems have combined computationally expensive state-estimation techniques with learning control.  This paper investigates learning in POMDPs without resorting to any form of state estimation.  We present results about what TD(0) and Q-learning will do when applied to POMDPs.  It is shown that the conventional discounted RL framework is inadequate to deal with POMDPs.  Finally we develop a new framework for learning without state-estimation in POMDPs by including stochastic policies in the search space, and by defining the value or utility of a distribution over states. 
Off-policy Learning with Recognizers| Abstract We introduce a new algorithm for off-policy temporal-difference learning with function approximation that has lower variance and requires less knowledge of the behavior policy than prior methods.  We develop the notion of a recognizer, a filter on actions that distorts the behavior policy to produce a related target policy with low-variance importance-sampling corrections.  We also consider target policies that are deviations from the state distribution of the behavior policy, such as potential temporally abstract options, which further reduces variance.  This paper introduces recognizers and their potential advantages, then develops a full algorithm for linear function approximation and proves that its updates are in the same direction as on-policy TD updates, which implies asymptotic convergence.  Even though our algorithm is based on importance sampling, we prove that it requires absolutely no knowledge of the behavior policy for the case of state-aggregation function approximators.  Off-policy learning is learning about one way of behaving while actually behaving in another way.  For example, Q-learning is an off- policy learning method because it learns about the optimal policy while taking actions in a more exploratory fashion, e. g. , according to an e-greedy policy.  Off-policy learning is of interest because only one way of selecting actions can be used at any time, but we would like to learn about many different ways of behaving from the single resultant stream of experience.  For example, the options framework for temporal abstraction involves considering a variety of different ways of selecting actions.  For each such option one would like to learn a model of its possible outcomes suitable for planning and other uses.  Such option models have been proposed as fundamental building blocks of grounded world knowledge (Sutton, Precup & Singh, 1999; Sutton, Rafols & Koop, 2005).  Using off-policy learning, one would be able to learn predictive models for many options at the same time from a single stream of experience.  Unfortunately, off-policy learning using temporal-difference methods has proven problematic when used in conjunction with function approximation.  Function approximation is essential in order to handle the large state spaces that are inherent in many problem domains.  Q-learning, for example, has been proven to converge to an optimal policy in the tabular case, but is unsound and may diverge in the case of linear function approximation (Baird, 1996).  Precup, Sutton, and Dasgupta (2001) introduced and proved convergence for the first off-policy learning algorithm with linear function approximation.  They addressed the problem of learning the expected value of a target policy based on experience generated using a different behavior policy.  They used importance sampling techniques to reduce the off-policy case to the on-policy case, where existing convergence theorems apply (Tsitsiklis & Van Roy, 1997; Tadic, 2000).  There are two important difficulties with that approach.  First, the behavior policy needs to be stationary and known, because it is needed to compute the importance sampling corrections.  Second, the importance sampling weights are often ill-conditioned.  In the worst case, the variance could be infinite and convergence would not occur.  The conditions required to prevent this were somewhat awkward and, even when they applied and asymptotic convergence was assured, the variance could still be high and convergence could be slow.  In this paper we address both of these problems in the context of off-policy learning for options.  We introduce the notion of a recognizer.  Rather than specifying an explicit target policy (for instance, the policy of an option), about which we want to make predictions, a recognizer specifies a condition on the actions that are selected.  For example, a recognizer for the temporally extended action of picking up a cup would not specify which hand is to be used, or what the motion should be at all different positions of the cup.  The recognizer would recognize a whole variety of directions of motion and poses as part of picking the cup.  The advantage of this strategy is not that one might prefer a multitude of different behaviors, but that the behavior may be based on a variety of different strategies, all of which are relevant, and we would like to learn from any of them.  In general, a recognizer is a function that recognizes or accepts a space of different ways of behaving and thus, can learn from a wider range of data.  Recognizers have two advantages over direct specification of a target policy: 1) they are a natural and easy way to specify a target policy for which importance sampling will be well conditioned, and 2) they do not require the behavior policy to be known.  The latter is important because in many cases we may have little knowledge of the behavior policy, or a stationary behavior policy may not even exist.  We show that for the case of state aggregation, even if the behavior policy is unknown, convergence to a good model is achieved.  1 Non-sequential example The benefits of using recognizers in off-policy learning can be most easily seen in a nonsequential context with a single continuous action.  Suppose you are given a sequence of sample actions a i 2 [0, 1], selected i. i. d.  according to probability density b : [0, 1] 7! + (the behavior density).  For example, suppose the behavior density is of the oscillatory form shown as a red line in Figure 1.  For each each action, a i , we observe a corresponding outcome, z i 2 , a random variable whose distribution depends only on a i .  Thus the behavior density induces an outcome density.  The on-policy problem is to estimate the mean m b of the outcome density.  This problem can be solved simply by averaging the sample outcomes: ^ m b = i z i .  The off-policy problem is to use this same data to learn what the mean would be if actions were selected in some way other than b.  For example, if the actions were restricted to a designated range, such as between 0. 7 and 0. 9.  There are two natural ways to pose this off-policy problem.  The most straightforward way is to be equally interested in all actions within the designated region.  One professes to be interested in actions selected according to a target density p : [0, 1] 7! + , which in the example would be 5. 0 between 0. 7 and 0. 9, and zero elsewhere, as in the dashed line in Figure 1 (left).  The importance- sampling estimate of the mean outcome is ^ m p = i p(a i ) b(a i ) z i .  (1)
Planning with Predictive State Representations| Abstract Predictive state representation (PSR) models for controlled dynamical systems have recently been proposed as an alternative to traditional models such as partially observable Markov decision processes (POMDPs).  In this paper we develop and evaluate two general planning algorithms for PSR models.  First, we show how planning algorithms for POMDPs that exploit the piecewise linear property of value functions for finite-horizon problems can be extended to PSRs.  This requires an interesting replacement of the role of hidden nominalstates in POMDPs with linearly independent predictions in PSRs.  Second, we show how traditional reinforcement learning algorithms such as Q-learning can be extended to PSR models.  We empirically evaluate both our algorithms on a standard set of test POMDP problems. 
Predictive State Representations: A New Theory for Modeling Dynamical Systems| Abstract Modeling dynamical systems, both for control purposes and to make predictions about their behavior, is ubiquitous in science and engineering.  Predictive state representations (PSRs) are a recently introduced class of models for discrete-time dynamical systems.  The key idea behind PSRs and the closely related OOMs (Jaeger's observable operator models) is to represent the state of the system as a set of predictions of observable outcomes of experiments one can do in the system.  This makes PSRs rather different from history-based models such as nth-order Markov models and hidden-statebased models such as HMMs and POMDPs.  We introduce an interesting new construct, the system-dynamics matrix, and show how PSRs can be derived simply from it.  We also use this construct to show formally that PSRs are more general than both nth-order Markov models and HMMs/POMDPs.  Finally, we discuss the main difference between PSRs and OOMs and conclude with directions for future work. 
Distributed Feedback Control for Decision Making on Supply Chains| Abstract Decision makers on supply chains face an uncertain, dynamic, and strategic multiagent environment.  We report on Deep Maize, an agent we designed to participate in the 2003 Trading Agent Competition Supply Chain Management (TAC/SCM) game. 
PAMAS -- Power Aware Multi-Access protocol with Signalling for Ad Hoc Networks| Abstract In this paper we develop a new multiaccess protocol for ad hoc radio networks.  The protocol is based on the original MACA protocol with the adition of a separate signalling channel.  The unique feature of our protocol is that it conserves battery power at nodes by intelligently powering off nodes that are not actively transmitting or receiving packets.  The manner in which nodes power themselves off does not influence the delay or throughput characteristics of our protocol.  We illustrate the power conserving behavior of PAMAS via extensive simulations performed over ad hoc networks containing 10--20 nodes.  Our results indicate that power savings of between 10% and 70% are attainable in most systems.  Finally, we discuss how the idea of power awareness can be built into other multiaccess protocols as well. 
Bias-Variance Error Bounds for Temporal Difference Updates| Abstract We give the first rigorous upper bounds on the error of temporal difference (td) algorithms for policy evaluation as a function of the amount of experience.  These upper bounds prove exponentially fast convergence, with both the rate of convergence and the asymptote strongly dependent on the length of the backups k or the parameter #.  Our bounds give formal verification to the long-standing intuition that td methods are subject to a "bias-variance" trade-off, and they lead to schedules for k and # that are predicted to be better than any fixed values for these parameters.  We give preliminary experimental confirmation of our theory for a version of the random walk problem. 
MIT Press| Improved Switching among Temporally Abstract Actions.  Abstract In robotics and other control applications it is commonplace to have a
Scaling Reinforcement Learning Algorithms by Learning Variable Temporal Resolution Models| Abstract The close connection between reinforcement learning (RL) algorithms and dynamic programming algorithms has fueled research on RL within the machine learning community.  Yet, despite increased theoretical understanding, RL algorithms remain applicable to simple tasks only.  In this paper I use the abstract framework afforded by the connection to dynamic programming to discuss the scaling issues faced by RL researchers.  I focus on learning agents that have to learn to solve multiple structured RL tasks in the same environment.  I propose learning abstract environment models where the abstract actions represent "intentions" of achieving a particular state.  Such models are variable temporal resolution models because in different parts of the state space the abstract actions span different number of time steps.  The operational definitions of abstract actions can be learned incrementally using repeated experience at solving RL tasks.  I prove that under certain conditions solutions to new RL tasks can be found by using simulated experience with abstract actions alone. 
Reinforcement Learning for Dynamic Channel Allocation in Cellular Telephone Systems| Abstract In cellular telephone systems, an important problem is to dynamically allocate the communication resource (channels) so as to maximize service in a stochastic caller environment.  This problem is naturally formulated as a dynamic programming problem and we use a reinforcement learning (RL) method to find dynamic channel allocation policies that are better than previous heuristic solutions.  The policies obtained perform well for a broad variety of call traffic patterns.  We present results on a large cellular system with approximately 49 49 states.  In cellular communication systems, an important problem is to allocate the communication resource (bandwidth) so as to maximize the service provided to a set of mobile callers whose demand for service changes stochastically.  A given geographical area is divided into mutually disjoint cells, and each cell serves the calls that are within its boundaries (see Figure 1a).  The total system bandwidth is divided into channels, with each channel centered around a frequency.  Each channel can be used simultaneously at different cells, provided these cells are sufficiently separated spatially, so that there is no interference between them.  The minimum separation distance between simultaneous reuse of the same channel is called the channel reuse constraint .  When a call requests service in a given cell either a free channel (one that does not violate the channel reuse constraint) may be assigned to the call, or else the call is blocked from the system; this will happen if no free channel can be found.  Also, when a mobile caller crosses from one cell to another, the call is "handed off" to the cell of entry; that is, a new free channel is provided to the call at the new cell.  If no such channel is available, the call must be dropped/disconnected from the system.  One objective of a channel allocation policy is to allocate the available channels to calls so that the number of blocked calls is minimized.  An additional objective is to minimize the number of calls that are dropped when they are handed off to a busy cell.  These two objectives must be weighted appropriately to reflect their relative importance, since dropping existing calls is generally more undesirable than blocking new calls.  To illustrate the qualitative nature of the channel assignment decisions, suppose that there are only two channels and three cells arranged in a line.  Assume a channel reuse constraint of 2, i. e. , a channel may be used simultaneously in cells 1 and 3, but may not be used in channel 2 if it is already used in cell 1 or in cell 3.  Suppose that the system is serving one call in cell 1 and another call in cell 3.  Then serving both calls on the same channel results in a better channel usage pattern than serving them on different channels, since in the former case the other channel is free to be used in cell 2.  The purpose of the channel assignment and channel rearrangement strategy is, roughly speaking, to create such favorable usage patterns that minimize the likelihood of calls being blocked.  We formulate the channel assignment problem as a dynamic programming problem, which, however, is too complex to be solved exactly.  We introduce approximations based on the methodology of reinforcement learning (RL) (e. g. , Barto, Bradtke and Singh, 1995, or the recent textbook by Bertsekas and Tsitsiklis, 1996).  Our method learns channel allocation policies that outperform not only the most commonly used policy in cellular systems, but also the best heuristic policy we could find in the literature.  1 CHANNEL ASSIGNMENT POLICIES Many cellular systems are based on a fixed assignment (FA) channel allocation; that is, the set of channels is partitioned, and the partitions are permanently assigned to cells so that all cells can use all the channels assigned to them simultaneously without interference (see Figure 1a).  When a call arrives in a cell, if any preassigned channel is unused; it is assigned, else the call is blocked.  No rearrangement is done when a call terminates.  Such a policy is static and cannot take advantage of temporary stochastic variations in demand for service.  More efficient are dynamic channel allocation policies, which assign channels to different cells, so that every channel is available to every cell on a need basis, unless the channel is used in a nearby cell and the reuse constraint is violated.  The best existing dynamic channel allocation policy we found in the literature is Borrowing with Directional Channel Locking (BDCL) of Zhang & Yum (1989).  It numbers the channels from 1 to N , partitions and assigns them to cells as in FA.  The channels assigned to a cell are its nominal channels.  If a nominal channel is available when a call arrives in a cell, the smallest numbered such channel is assigned to the call.  If no nominal channel is available, then the largest numbered free channel is borrowed from the neighbour with the most free channels.  When a channel is borrowed, careful accounting of the directional effect of which cells can no longer use that channel because of interference is done.  The call is blocked if there are no free channels at all.  When a call terminates in a cell and the channel so freed is a nominal channel, say numbered i, of that cell, then if there is a call in that cell on a borrowed channel, the call on the smallest numbered borrowed channel is reassigned to i and the borrowed channel is returned to the appropriate cell.  If there is no call on a borrowed channel, then if there is a call on a nominal channel numbered larger than i, the call on the highest numbered nominal channel is reassigned to i.  If the call just terminated was itself on a borrowed channel, the
Proposal and Demonstration of Link Connectivity Assessment based Enhancements to Routing in Mobile Ad-hoc Networks| Abstract Routing is a challenge in dynamically changing network of mobile devices.  Proliferating ad-hoc network based applications have greatly increased the need for a robust routing protocol.  Inter-vehicle communication, for instance, has a huge scope in terms of potential applications targeting improvement in driving safety and convenience.  However, because of associated challenges like mobility and hostile driving conditions, ad-hoc multi-hop communication needs to be supported by a robust routing protocol.  In this paper, the application of link-connectivity assessment to efficient ad-hoc routing is investigated and demonstrated. 
Using Eligibility Traces to Find the Best Memoryless Policy in Partially Observable Markov Decision Processes| Abstract Recent research on hidden-state reinforcement learning (RL) problems has concentrated on overcoming partial observability by using memory to estimate state.  However, such methods are computationally extremely expensive and thus have very limited applicability.  This emphasis on state estimation has come about because it has been widely observed that the presence of hidden state or partial observability renders popular RL methods such as Q-learning and Sarsa useless.  However, this observation is misleading in two ways: first, the theoretical results supporting it only apply to RL algorithms that do not use eligibility traces, and second these results are worst-case results, which leaves open the possibility that there may be large classes of hidden-state problems in which RL algorithms work well without any state estimation.  In this paper we show empirically that Sarsa(#), a well known family of RL algorithms that use eligibility traces, can work very well on hidden state problems that have good memoryless policies, i. e. , on RL problems in which there may well be very poor observability but there also exists a mapping from immediate observations to actions that yields near-optimal return.  We apply conventional Sarsa(#) to four test problems taken from the recent work of Littman, Littman Cassandra and Kaelbling, Parr and Russell, and Chrisman, and in each case we show that it is able to find the best, or a very good, memoryless policy without any of the computational expense of state estimation. 
Reinforcement Learning with Soft State Aggregation| Abstract It is widely accepted that the use of more compact representations than lookup tables is crucial to scaling reinforcement learning (RL) algorithms to real-world problems.  Unfortunately almost all of the theory of reinforcement learning assumes lookup table representations.  In this paper we address the pressing issue of combining function approximation and RL, and present 1) a function approximator based on a simple extension to state aggregation (a commonly used form of compact representation), namely soft state aggregation, 2) a theory of convergence for RL with arbitrary, but fixed, soft state aggregation, 3) a novel intuitive understanding of the effect of state aggregation on online RL, and 4) a new heuristic adaptive state aggregation algorithm that finds improved compact representations by exploiting the non-discrete nature of soft state aggregation.  Preliminary empirical results are also presented. 
