A non-negative sparse coding network learns contour coding and integration from natural images| Abstract An important approach in visual neuroscience considers how the function of
Discovery of non-gaussian linear causal models using ICA| Abstract In recent years, several methods have been proposed for the discovery of causal structure from non-experimental data (Spirtes et al.  2000; Pearl 2000).  Such methods make various assumptions on the data generating process to facilitate its identification from purely observational data.  Continuing this line of research, we show how to discover the complete causal structure of continuous-valued data, under the assumptions that (a) the data generating process is linear, (b) there are no unobserved confounders, and (c) disturbance variables have non-gaussian distributions of non-zero variances.  The solution relies on the use of the statistical method known as independent component analysis (ICA), and does not require any pre-specified time-ordering of the variables.  We provide a complete Matlab package for performing this LiNGAM analysis (short for Linear Non-Gaussian Acyclic Model), and demonstrate the effectiveness of the method using artificially generated data. 
Validating the independent components of neuroimaging time-series via clustering and visualization| Abstract Recently, independent component analysis (ICA) has been widely used in the
ICASSO: SOFTWARE FOR INVESTIGATING THE RELIABILITY OF ICA ESTIMATES BY CLUSTERING AND VISUALIZATION| Abstract.  A major problem in application of independent component analysis (ICA) is that the reliability of the estimated independent components is not known.  Firstly, the finite sample size induces statistical errors in the estimation.  Secondly, as real data never exactly follows the ICA model, the contrast function used in the estimation may have many local minima which are all equally good, or the practical algorithm may not always perform properly, for example getting stuck in local minima with strongly suboptimal values of the contrast function.  We present an explorative visualization method for investigating the relations between estimates from FastICA.  The algorithmic and statistical reliability is investigated by running the algorithm many times with different initial values or with differently bootstrapped data sets, respectively.  Resulting estimates are compared by visualizing their clustering according to a suitable similarity measure.  Reliable estimates correspond to tight clusters, and unreliable ones to points which do not belong to any such cluster.  We have developed a software package called Icasso to implement these operations.  We also present results of this method when applying Icasso on biomedical data. 
Connection between multilayer perceptrons and regression using independent component analysis| Abstract The data model of independent component analysis (ICA) gives a multivariate probability density that describes many kinds of sensory data better than classical models like gaussian densities or gaussian mixtures.  When only a subset of the random variables is observed, ICA can be used for regression, i. e.  to predict the missing observations.  In this paper, we show that the resulting regression is closely related to regression by a multi-layer perceptron (MLP).  In fact, if linear dependencies are first removed from the data, regression by ICA is, as a first-order approximation, equivalent to regression by MLP.  This theoretical result gives a new interpretation of the elements of the MLP: The outputs of the hidden layer neurons are related to estimates of the values of the independent components, and the sigmoid nonlinearities are obtained from the probability densities of the independent components. 
Chapter 9 Adaptive cognitive systems| 123 9. 1 Introduction Our research on cognitive systems focuses on modeling and applying methods of unsupervised and reinforcement learning.  The general aim is to provide a methodological framework for theories of conceptual development, symbol grounding, communication among autonomous agents, and constructive learning.  We also work in close collaboration with other groups in our laboratory, e. g. , related to multimodal environments and sensory fusion. 
A Novel Temporal Generative Model of Natural Video as an Internal Model in Early Vision| Abstract--- In computational neuroscience one application of generative models is to examine how the statistics sensory input data are related to the properties corresponding sensory neural networks.  In this approach it is assumed that neural networks are tuned to the properties of input data, that is, that they have learned ecient internal representations of their environment.  In this paper we present a hypothetical internal representation for natural video at the level of early vision, more precisely, the level of simple and complex cells.  We define two-layer generative model for natural video, based on temporal relationships between simple cell outputs.  Preliminary results of estimating the parameters of the model from natural data suggest that the learned temporal interactions between cell outputs are similar to complex cell pooling of simple cell outputs.  This unsupervised learning pooling separates our experimental results from empirical work based on other advanced self-organizing models early vision. 
Blind source separation by nonstationarity of variance: A cumulant-based approach| Abstract Blind separation of source signals usually relies either on the nongaussianity
Estimating overcomplete independent component bases for image windows| Abstract Estimating overcomplete ICA bases for image windows is a dicult problem.  Most algorithms require the estimation of values of the independent components which leads to computationally heavy procedures.  Here we first review the existing methods, and then introduce two new algorithms that estimate an approximate overcomplete basis quite fast in a high-dimensional space.  The first algorithm is based on the prior assumption that the basis vectors are randomly distributed in the space, and therefore close to orthogonal.  The second replaces the conventional orthogonalization procedure by a transformation of the marginal density to gaussian. 
Survey on Independent Component Analysis, Neural|
ICA fixed-point algorithm in extraction of artifacts from EEG|
